appid,name,genres,categories
500,Left 4 Dead,Action,"Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Captions available, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Stereo Sound, Surround Sound, Steam Cloud, Valve Anti-Cheat enabled, Stats, Steam Leaderboards, Includes Source SDK, Commentary available, Remote Play on TV, Family Sharing"
550,Left 4 Dead 2,Action,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Stereo Sound, Surround Sound, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing, Steam Timeline"
570,Dota 2,"Action, Strategy, Free To Play","Multi-player, Co-op, Steam Trading Cards, Steam Workshop, SteamVR Collectibles, In-App Purchases, Camera Comfort, Color Alternatives, Custom Volume Controls, Valve Anti-Cheat enabled, Steam Timeline"
620,Portal 2,"Action, Adventure","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Steam Workshop, Camera Comfort, Custom Volume Controls, Playable without Timed Input, Save Anytime, Stereo Sound, Surround Sound, Steam Cloud, Stats, Includes level editor, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing"
630,Alien Swarm,"Action, Free To Play","Single-player, Multi-player, Co-op, Steam Achievements, Captions available, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Stereo Sound, Surround Sound, Steam Cloud, Stats, Includes level editor"
659,Portal 2 - Pre-order,"Action, Adventure","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Steam Workshop, Camera Comfort, Custom Volume Controls, Playable without Timed Input, Save Anytime, Stereo Sound, Surround Sound, Steam Cloud, Stats, Includes level editor, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing"
730,Counter-Strike 2,"Action, Free To Play","Multi-player, Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, In-App Purchases, Adjustable Text Size, Camera Comfort, Color Alternatives, Custom Volume Controls, Playable without Timed Input, Stereo Sound, Surround Sound, Valve Anti-Cheat enabled, Stats, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Steam Timeline"
1002,Rag Doll Kung Fu,Indie,"Single-player, Multi-player, Family Sharing"
1200,Red Orchestra: Ostfront 41-45,Action,"Multi-player, Steam Achievements, Valve Anti-Cheat enabled, Family Sharing"
1250,Killing Floor,Action,"Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Valve Anti-Cheat enabled, Stats, Includes level editor, Family Sharing"
1300,SiN Episodes: Emergence,Action,"Single-player, Stats, Family Sharing"
2210,Quake 4,Action,"Single-player, Multi-player, Steam Cloud, Family Sharing"
2310,Quake,Action,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Full controller support, Steam Cloud, Remote Play Together, Family Sharing"
4000,Garry's Mod,"Casual, Indie, Simuladores","Un jugador, Multijugador, JcJ, JcJ en línea, JcJ en LAN, Cooperativo, Cooperativo en línea, Cooperativo en LAN, Multijugador multiplataforma, Logros de Steam, Cromos de Steam, Subtítulos disponibles, Steam Workshop, Steam Cloud, Con sist. antitrampas de Valve, Incluye editor de niveles, Incluye el SDK de Source, Remote Play en tableta, Préstamo familiar"
495760,Deios II // DEIDIA,"Adventure, Indie","Single-player, Family Sharing"
495780,Hexoscope,"Casual, Indie","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing"
495800,Flipside Studio,"Animation & Modeling, Video Production",VR Only
495820,Lil Tanks,"Action, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing"
495830,Endless Labyrinth,Casual,"Single-player, Tracked Controller Support, VR Only, Family Sharing"
495890,Montaro,"Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing"
495900,Lance A Lot: Classic Edition,"Action, Casual, Indie","Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Full controller support, Remote Play Together, Family Sharing"
495910,Dungeon Fighter Online,"Action, Adventure, Massively Multiplayer, RPG, Free To Play","Multi-player, MMO, PvP, Online PvP, Steam Achievements, Steam Trading Cards"
495960,The Secret Monster Society,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing"
495980,Selma and the Wisp,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing"
495990,真恋～寄语枫秋～,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing"
496000,BowMage,"Action, Adventure, Casual, Indie, Simulation","Single-player, Tracked Controller Support, VR Only, Family Sharing"
496030,Dark Parables: The Swan Princess and The Dire Tree Collector's Edition,"Adventure, Casual","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing"
496040,Shaq Fu: A Legend Reborn,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing"
496070,Geo-Fall,"Action, Early Access","Single-player, Tracked Controller Support, VR Only, Steam Leaderboards, Family Sharing"
496080,"Space, VR!",Indie,"Single-player, Tracked Controller Support, VR Only, Family Sharing"
496120,LaserCat,"Adventure, Casual, Indie","Single-player, Full controller support, Steam Trading Cards, Family Sharing"
496160,Return Zero VR,"Action, Racing","Single-player, VR Only, Family Sharing"
496170,Desert Race Adventures,"Adventure, Casual, Indie, Racing","Single-player, Steam Leaderboards, Family Sharing"
496180,GE Neuro,"Casual, Simulation","Single-player, VR Only"
496190,Senza Peso,"Adventure, Casual","Single-player, Full controller support, Tracked Controller Support, VR Only"
496230,Watching Grass Grow In VR - The Game,"Action, Indie","Single-player, Steam Achievements, Tracked Controller Support, VR Only, Steam Leaderboards, Family Sharing"
496240,Onward,"Action, Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Tracked Controller Support, VR Only, SteamVR Collectibles"
496250,Paddle Up,"Indie, Sports, Early Access","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Tracked Controller Support, VR Only, Family Sharing"
496260,Corona Blossom Vol.1 Gift From the Galaxy,"Adventure, Casual","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing"
496290,Deep Dark Dungeon,"Action, Indie, RPG","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing"
496300,Kingdom: New Lands,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing"
496310,Momento Temporis: Light from the Deep,"Action, Adventure, Indie","Single-player, Full controller support, Steam Cloud, Family Sharing"
496320,Running Gods,"Action, Adventure, Casual, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play Together, Family Sharing"
496340,Fighting Fantasy Legends,"Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing"
496350,Supipara - Chapter 1 Spring Has Come!,Adventure,"Single-player, Steam Trading Cards, Steam Cloud, Family Sharing"
496360,RC Racing Off Road 2.0,"Racing, Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Partial Controller Support, Steam Cloud, Remote Play Together, Family Sharing"
496380,A Verdant Hue,"Casual, Indie, Simulation","Single-player, Family Sharing"
496390,Shiny,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on TV, Family Sharing"
496400,Renoir,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing"
496440,The Challenge,"Adventure, Indie, Early Access","Single-player, Steam Trading Cards, Partial Controller Support, Family Sharing"
496450,J.A.C.K.,"Animation & Modeling, Design & Illustration, Utilities, Game Development","Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Includes level editor"
496460,Life is Feudal: Forest Village,"Indie, Simulation, Strategy","Single-player, Steam Workshop, Steam Cloud, Family Sharing"
496490,Virtual Battlemap,"Design & Illustration, Utilities","Steam Achievements, Includes level editor"
496520,Typing with Jester,"Indie, Early Access","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing"
496530,Pigmentone,"Casual, Indie, Strategy","Single-player, Steam Trading Cards, Family Sharing"
496540,Zone of Lacryma,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Family Sharing"
496550,Noob Squad,"Action, Casual, Indie, Massively Multiplayer","Multi-player, PvP, Online PvP, Steam Trading Cards, Family Sharing"
496570,Locus Solus,"Action, Indie, Massively Multiplayer, RPG","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Family Sharing"
496590,Crystal Cosmos,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing"
496610,Push The Crate,"Casual, Indie","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing"
496620,Monster Slayers,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing"
496630,Empty Horizons,"Indie, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing"
496640,Strange Night,Indie,"Single-player, Steam Trading Cards, Family Sharing"
496650,Antihorror,"Action, Indie","Single-player, Steam Trading Cards, Family Sharing"
496660,Minotaur,"Nudity, Violent, Gore, Action, Adventure, Indie, Early Access","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Family Sharing"
496670,Maze Roller,"Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing"
496680,SweatShop,"Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing"
496690,Adventures On The Polluted Islands,"Adventure, Casual, Indie","Single-player, Steam Trading Cards, Family Sharing"
496730,Sorcerer King: Rivals,"Adventure, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing"
496740,Discovering Space 2,"Casual, Indie, Simulation","Single-player, Tracked Controller Support, VR Only, Partial Controller Support, Family Sharing"
496750,The Housewife,"Indie, Simulation","Single-player, Steam Trading Cards, Family Sharing"
496760,Gabriel Knight 2: The Beast Within,Adventure,"Single-player, Family Sharing"
496790,Nothin' But Net,"Casual, Indie, Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Tracked Controller Support, VR Only, Stats, Steam Leaderboards, Family Sharing"
496810,MegaTagmension Blanc + Neptune VS Zombies,Action,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing"
496820,Ruction: The Golden Tablet,"Adventure, Indie, Early Access","Single-player, Family Sharing"
496850,Brick Battalion,"Casual, Indie, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing"
496890,Replica,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing"
496910,DrumKit VR - Play drum kit in the world of VR,Audio Production,"Tracked Controller Support, VR Only"
496930,Sumeru,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing"
496940,Second Death,"Adventure, Indie, RPG","Single-player, Family Sharing"
496950,The Slingshot VR,"Action, Casual, Indie, Simulation","Single-player, Full controller support, VR Only, Family Sharing"
496960,Shoot Mania VR: Fun Zombies,"Action, Casual, Indie","Single-player, Steam Achievements, Tracked Controller Support, VR Only, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing"
496980,Cosmic Cavern 3671宇宙最大の地底最大の作戦,"Action, Casual, Indie, Strategy","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Leaderboards, Remote Play Together, Family Sharing"
496990,Ghost Sweeper,"Action, Adventure, Casual, Indie","Single-player, Steam Trading Cards, Partial Controller Support, Family Sharing"
497000,Cross Death  VR,"Action, Adventure, Indie, Strategy","Single-player, Steam Achievements, Tracked Controller Support, VR Only, Stats, Steam Leaderboards, Family Sharing"
497020,Mystic Diary - Quest for Lost Brother,"Adventure, Casual","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing"
497040,Underground Keeper,"Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing"
497050,ShapeShifter,"Casual, Indie","Single-player, Steam Trading Cards, Family Sharing"
497060,Rise,"Action, Indie","Single-player, Family Sharing"
497080,Construct: Escape the System,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Stats, Steam Leaderboards, Family Sharing"
497090,Amihailu in Dreamland,Indie,"Single-player, Full controller support"
497100,FootRock,"Action, Adventure, Casual, Indie, Sports","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing"
497120,Wildcard,"Action, Indie, Strategy","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Family Sharing"
497150,DJ Streamer,"Audio Production, Utilities","Steam Cloud, Stats"
497160,Voice Again,"Audio Production, Utilities","Steam Cloud, Stats"
497180,Street Legal Racing: Redline v2.3.1,"Racing, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing"
497190,Pichon,"Action, Casual, Indie","Single-player, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing"
497260,Fabulous Food Truck,"Casual, Simulation","Single-player, Steam Trading Cards, Family Sharing"
497280,Wrong Dimension - The One Dimensional Platformer,"Casual, Indie","Single-player, Partial Controller Support, Family Sharing"
497300,Always Higher,"Action, Adventure, Indie","Single-player, Steam Achievements, Tracked Controller Support, VR Only, Family Sharing"
497310,PD Particles 9,"Design & Illustration, Education, Photo Editing, Software Training",
497320,The Spirit of Twelve,"Adventure, Indie, RPG","Single-player, Steam Achievements, Partial Controller Support, Family Sharing"
497360,"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",Adventure,"Single-player, Family Sharing"
497380,Rise,"Casual, Indie","Single-player, Family Sharing"
497400,1 Moment Of Time: Silentville,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing"
497420,Pixelscape: Oceans,"Casual, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing"
497430,G Prime Into The Rain,"Indie, Simulation","Single-player, Steam Achievements, Partial Controller Support, Family Sharing"
497440,HOMEBOUND,"Action, Adventure, Casual","Single-player, VR Only, Partial Controller Support, Family Sharing"
497450,Blortasia,"Casual, Indie","Single-player, Tracked Controller Support, VR Only, Family Sharing"
497460,Mervils: A VR Adventure,"Adventure, RPG","Single-player, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Family Sharing"
497470,D.N.Age,"Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing"
497480,GravPool,"Casual, Indie, Sports","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Tracked Controller Support, VR Only, Stats, Steam Leaderboards, Remote Play Together, Family Sharing"
497490,Project Hovercraft,"Action, Casual, Indie","Multi-player, PvP, Online PvP, Family Sharing"
497510,Crystal Quest Classic,"Action, Strategy","Single-player, Steam Achievements, Family Sharing"
497560,Crimson Sword Saga: The Peloran Wars,"Free To Play, Indie, RPG","Single-player, Full controller support, Steam Trading Cards, Family Sharing"
497580,Agent Walker: Secret Journey,"Adventure, Casual","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing"
497590,Sapper's bad dream,"Action, Adventure, Casual, Indie","Single-player, Steam Trading Cards, Family Sharing"
497640,Trick & Treat,"Adventure, Casual, Free To Play, Indie","Single-player, Steam Achievements, Steam Cloud"
497670,LineDash,"Action, Indie","Single-player, Steam Trading Cards, Partial Controller Support, Family Sharing"
497680,Plates,"Casual, Indie","Single-player, Steam Achievements, Family Sharing"
497700,Safety First!,"Casual, Indie, Simulation, Sports","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Family Sharing"
497710,Holobunnies: Pause Cafe,"Action, Adventure, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing"
497720,Funfair Ride Simulator 3,Simulation,"Single-player, Steam Achievements, Steam Trading Cards, Stats, Family Sharing"
497730,The Wardrobe,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing"
497780,Recursed,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing"
497790,Ayumi: Enhanced Edition,Adventure,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing"
497800,Golden Krone Hotel,"Adventure, Indie, RPG, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing"
497820,Quanero,Free To Play,"Single-player, Full controller support, Tracked Controller Support, VR Only"
497850,8-Bit Hordes,"Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor, Remote Play Together, Family Sharing"
497860,Zezenia Online,"Action, Adventure, Indie, Massively Multiplayer, RPG, Free To Play","Multi-player, MMO, PvP, Online PvP"
497870,Super Sketch Bob,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option, Playable without Timed Input, Stereo Sound, Steam Cloud, Family Sharing"
497880,Doodle WHAT?!,"Casual, Indie, Strategy, Early Access","Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Trading Cards, Family Sharing"
497940,Destiny of Ancient Kingdoms™,"Action, Adventure, Free To Play, Massively Multiplayer, RPG, Strategy","Multi-player, MMO, PvP, Online PvP, Steam Trading Cards, In-App Purchases"
497950,God's Gift,"Indie, Strategy","Single-player, Steam Achievements, Full controller support, Includes level editor, Family Sharing"
498000,Mushroom Crusher Extreme,"Action, Indie","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support, Remote Play Together, Family Sharing"
498030,Barnyard Mahjong 3,Casual,"Single-player, Steam Trading Cards, Family Sharing"
498040,The Hidden Dragon,Casual,"Single-player, Steam Trading Cards, Family Sharing"
498050,Mystery Of Rivenhallows,"Adventure, Casual","Single-player, Steam Trading Cards, Family Sharing"
498190,Dragon Rage,"Action, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Family Sharing"
855710,Unsacrifice,Indie,"Single-player, Tracked Controller Support, VR Supported, Family Sharing"
855730,Plants,"Casual, Indie","Single-player, Steam Achievements, Family Sharing"
855740,Bum Simulator,"Action, Adventure, Indie, Simulation","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Family Sharing"
855760,Sweet Treats,"Casual, Indie, Strategy","Single-player, Steam Achievements, Family Sharing"
855770,UpBoll,"Casual, Indie, Early Access",Single-player
855800,Trek: Travel Around the World,"Adventure, Casual, Indie, Simulation","Single-player, Tracked Controller Support, VR Only, Family Sharing"
855830,NEX:OS,"Action, Adventure, Free To Play, Indie, RPG, Early Access","Multi-player, MMO, PvP, Online PvP, Co-op, Full controller support"
855850,Space Elite Force,"Action, Casual, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing"
855860,Superfighters Deluxe,"Action, Indie","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Workshop, Includes level editor, Remote Play Together, Family Sharing"
855970,Vixens From outer Space,"Action, Indie, Early Access","Single-player, Steam Achievements, Full controller support, Family Sharing"
855990,"Wake Up, Good Guardian!",RPG,"Single-player, Partial Controller Support, Family Sharing"
856010,National Machine,"Indie, Simulation, Strategy, Early Access","Single-player, Family Sharing"
856040,ChameleonMan,Indie,"Single-player, Steam Achievements, Steam Cloud, Family Sharing"
856050,Conjury of Nature,"Action, Adventure","Single-player, Tracked Controller Support, VR Only, Steam Cloud, Steam Leaderboards, Family Sharing"
856060,蝶生梦影-Butterfly dream shadow,Casual,"Single-player, Steam Achievements, Family Sharing"
856070,The Mill Blackbird VR Experience,"Animation & Modeling, Design & Illustration, Video Production",
856080,Mind Labyrinth VR Dreams,Adventure,"Single-player, Steam Achievements, Tracked Controller Support, VR Only, Family Sharing"
856100,Little Comet,"Casual, Indie, Sports","Single-player, Steam Achievements, Family Sharing"
856110,Antisnake,"Action, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Includes level editor, Remote Play Together, Family Sharing"
856130,Dark SASI,"Action, Adventure, Indie, RPG, Simulation, Sports, Strategy","Single-player, Steam Achievements, Partial Controller Support, Family Sharing"
856160,STAR BARON - VR Beast combat game,"Violent, Action, Early Access","Single-player, Tracked Controller Support, VR Only, Family Sharing"
856170,Exo TD,"Action, Casual, Indie, Simulation, Strategy, Early Access","Single-player, Family Sharing"
856190,Metori,"Action, Indie, Strategy","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Remote Play Together, Family Sharing"
